,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
105,24401140300,2.6,4,0.95,3.53,75,25,5,3,6,1.79,100
106,24401140500,2.59,11,1.55,4.7,319,101,16.1,7,13,17.24,100
107,24401140700,2.62,4,1.43,4.42,139,42,8.5,5,12,0.9,100
108,24401140600,3.43,6,1.18,6.54,131,44,10,3,9,0.45,100
109,24401140400,1.34,3,1.26,2.85,54,24,3.6,4,6,4.86,100
110,24401140100,39.33,0,0.02,18.94,49,9,0,8,76,0,0
111,24401030015,7.84,12,2.08,14.58,1263,534,14.1,37,130,0,0
112,24401040007,20.62,11,2.62,23.42,1843,1122,18,57,177,0.41,99.19
113,24401120007,4.42,8,0.69,7.08,972,177,12.8,11,33,0.04,100
114,24401120100,1.96,7,0.85,4.28,132,36,4.3,5,9,0.9,100
115,24401120007,0,0,0,5.25,29,1,0,1,8,0,0
116,24401120200,0.55,3,2.34,1.72,22,10,6.7,2,3,37.57,100
117,24413931300,7.78,23,1.27,7.96,589,225,15,11,39,0.06,100
118,24413020200,3.13,2,0,7.15,12,7,0,2,6,20.15,100
119,24413930100,6.39,13,0.79,8.5,112,156,2.9,8,16,0.5,100
120,24413221100,36.09,1,0,30.68,3,4,0,3,8,94.08,100
121,24413220900,40.9,2,0.82,30.08,19,27,0,4,21,0,0
122,24413220600,0,2,0.02,6.68,48,8,0,4,10,0,0
123,24413220300,22.61,9,0.79,22.13,328,55,9.8,6,10,8.97,100
124,24413220101,80.72,7,0.08,23.96,6,21,0,6,2,2.63,100
125,24413220102,29.57,8,0.95,17.94,131,67,3.1,8,46,0,0
126,24413221500,109.31,2,0.51,15.05,31,15,0.5,5,12,0,0
127,24413010100,32.74,28,0.49,27.38,217,512,1.7,13,30,4.31,100
128,24413010200,9.71,9,1.21,10.33,32,44,1.7,5,10,96.08,100
129,24413230900,7.24,1,0.42,13.58,37,8,0.4,3,8,70.67,100
130,24413230800,9.03,1,3.62,10.41,0,5,0,2,10,54.17,100
131,24413230200,21.8,2,0.19,18.28,39,9,0.1,5,10,2.46,100
132,24413230603,12.18,2,1.3,13.94,15,11,1,5,10,86.28,100
133,24413230100,12.81,18,1.08,13.3,653,234,14,12,20,0.19,100
134,24413230700,28.65,3,0.34,24.62,157,16,1.1,5,9,0.71,100
135,24413230300,5.61,3,0.62,8.56,23,14,0.8,3,18,35.11,100
136,24413230600,26.81,3,0.49,22.18,36,18,1.1,4,11,2.68,100
137,24413230500,12.41,1,0.99,16.94,15,7,0.4,3,23,5.14,100
138,24413022400,9.74,8,1.38,14.37,19,55,1.9,5,11,0,0
139,24413022200,32,5,0.47,20.64,133,23,2.5,5,13,1.26,100
140,24413022500,35.92,34,0.44,19.47,166,231,2.1,9,15,0.09,100
141,24413022300,8.63,22,0.38,10.2,168,426,1.4,11,23,0.11,100
142,24413022101,27.75,25,0.48,22.62,368,429,3.2,12,40,0.06,100
143,24413022102,20.47,23,1.11,14.8,54,193,1.5,8,24,0.24,100
144,24413810300,8.83,1,0.81,7.65,20,10,0,3,12,4.66,100
145,24413810200,12.31,10,1.39,10.62,50,59,2.5,7,14,0.11,100
146,24413810100,82.9,44,0.88,41.89,202,389,3.4,12,32,0.1,100
147,24413810500,24.4,12,1.49,18.34,78,69,3.5,5,13,1.12,100
148,24413810600,9.46,4,1.19,8.74,17,28,0.7,5,9,0.32,100
